source,target
fuzzybot do first message,fuzzybot do onboarding ask user location
fuzzybot do is a *,fuzzybot do onboarding ask user location
fuzzybot do onboarding ask user location,fuzzybot do onboarding complete *
fuzzybot do is a [*] @yes [*],fuzzybot do onboarding complete *
fuzzybot do is a *,fuzzybot do onboarding complete *
fuzzybot do save location *,fuzzybot do onboarding complete *
fuzzybot do is a *,fuzzybot do first message
fuzzybot do is a *,fuzzybot do save location *
(@sureyes),fuzzybot do lang en wildcard{weight=1}
fuzzybot do first message,fuzzybot do onboarding complete *
[*] weathercat [*],fuzzybot do onboarding complete *
fuzzybot do is a *,fuzzybot do daily update eval preference *
fuzzybot do onboarding complete *,fuzzybot do daily update 1
fuzzybot do daily update 2 continue,fuzzybot do daily update eval preference *
fuzzybot do is a *,fuzzybot do is a *
fuzzybot do is a *,fuzzybot do weather error *{weight=100}
fuzzybot do save location *,fuzzybot do daily update 1
fuzzybot do is a *,fuzzybot do daily update 2 continue
fuzzybot do save location *,[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a *,[*] (@badwordsinsults) [*]
fuzzybot do save location *,fuzzybot do daily update eval preference *
fuzzybot do save location *,fuzzybot do onboarding ask user location
fuzzybot do save location *,fuzzybot do save location *
[*] weathercat [*],fuzzybot do onboarding ask user location
fuzzybot do save location *,[*] (@whatrequest) [*] (weather|temp|temperature) [@nearplace] *{weight=5}
fuzzybot do weather error *{weight=100},fuzzybot do onboarding complete *
fuzzybot do save location *,fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @yes [*],fuzzybot do save location *
fuzzybot do is a *,fuzzybot do is a [*] @yes [*]
*,fuzzybot do is a *
fuzzybot do lang en wildcard{weight=1},[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a *,fuzzybot do is a [*] @sure [*]
fuzzybot do save location *,fuzzybot do weather error *{weight=100}
fuzzybot do lang en wildcard{weight=1},fuzzybot do weather error *{weight=100}
fuzzybot do first message,fuzzybot do make nice username{weight=1000}
